,MOF,gas,ppm,rep_id,slope,saturation,auc
51,Zn-HHTP,SO2,40,0,0.0688613292048794,22.926404486907472,32250.21447275547
52,Zn-HHTP,SO2,40,1,0.07045065969585894,23.24535653523039,32885.88038505276
53,Zn-HHTP,SO2,40,2,0.07160730989870179,23.559191204629727,33399.02847935572
54,Zn-HHTP,SO2,40,3,0.06803013142851208,23.585071624393105,33094.88302831493
55,Zn-HHTP,SO2,80,0,0.10424949229323008,23.938719865834152,34723.5089957875
56,Zn-HHTP,SO2,80,1,0.10534949994439098,23.92482475223592,34844.976761816855
57,Zn-HHTP,SO2,80,2,0.10342527494939782,23.877667693552045,34423.83233975791
58,Zn-HHTP,SO2,80,3,0.09965346459576055,23.272873638219686,33524.51583700905
59,Cu-HHTP,H2S,5,0,0.20829943738167161,93.94802486037358,134957.21589485364
60,Cu-HHTP,H2S,5,1,0.17865245947199637,94.65679489489155,129443.36655434419
61,Cu-HHTP,H2S,5,2,0.3556645828335577,94.35688418864915,146382.8729481645
62,Cu-HHTP,H2S,5,3,0.2891329237964526,94.5585102106861,141538.38782323542
63,Cu-HHTP,H2S,10,0,0.3792686660563082,96.30488469890577,155648.58018523708
64,Cu-HHTP,H2S,10,1,0.29235552780541546,94.57306903790828,147001.19399986905
65,Cu-HHTP,H2S,10,2,0.2588319810666043,94.64123259868963,144890.04523251072
66,Cu-HHTP,H2S,20,0,0.598602326578684,96.63696815419581,159391.37896340422
67,Cu-HHTP,H2S,20,1,0.5406290814177985,96.51934134305247,156806.87246306633
68,Cu-HHTP,H2S,20,2,0.5970746274887826,97.03090404759436,159121.082641243
69,Cu-HHTP,H2S,20,3,0.5103077879213177,96.14855460090854,154349.6111043984
70,Cu-HHTP,H2S,40,0,1.329915506896082,89.57941709214593,151710.5593345743
71,Cu-HHTP,H2S,40,1,1.6119404743162473,93.27091447826928,160598.93271085597
72,Cu-HHTP,H2S,40,2,1.6440494956187535,91.8213759943688,157349.96341948412
73,Cu-HHTP,H2S,40,3,1.6825439113006333,94.1075013573168,161240.56460606045
