,MOF,gas,ppm,folder,rep_id,batch,slope,saturation,auc,mean,Cu-1,Ni-1,Ni-2,Ni-3,Ni-4,Ni-5,Zn-1
26,Ni-HHTP,H2S,5,batch_2,3,Ni-2,0.08696393398811132,49.11979721971821,57692.559524845376,[13.80313882 36.42341019 45.92653128],0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,Ni-HHTP,H2S,10,batch_2,0,Ni-1,0.032593213441121496,36.62455533998262,36036.367742465634,[ 6.03466832 21.20898493 32.81644565],0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,Ni-HHTP,H2S,10,batch_2,1,Ni-1,0.03961741123942857,41.955751882707965,44365.23008611014,[ 8.27966001 27.0819524  38.57959655],0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,Ni-HHTP,H2S,10,batch_2,2,Ni-1,0.04305467575945964,43.173146477724444,46770.18935982445,[ 9.05530347 28.89493389 39.99936134],0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,Ni-HHTP,H2S,10,batch_2,3,Ni-1,0.04095247447144965,43.98212180597666,47852.468937437014,[ 9.38537596 29.53727549 40.83052709],0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,Ni-HHTP,H2S,20,batch_2,0,Ni-1,0.10554250958007447,37.0402444414941,47735.384025986496,[16.43681021 28.5528782  34.56573998],0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,Ni-HHTP,H2S,20,batch_2,1,Ni-1,0.10875622020797551,41.78251846547587,53571.27186375803,[18.18461075 32.07450702 39.02233207],0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,Ni-HHTP,H2S,20,batch_2,2,Ni-1,0.09828302537121976,37.79285910818963,48031.235419539764,[16.28392941 28.65184903 35.11276894],0.0,1.0,0.0,0.0,0.0,0.0,0.0
34,Ni-HHTP,H2S,40,batch_2,0,Ni-2,0.22782849897227453,84.71275830594654,118983.08144532566,[41.80795372 74.05890122 82.42965588],0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,Ni-HHTP,H2S,40,batch_2,1,Ni-2,0.20948530841341365,80.08383623000694,113501.76069557221,[41.26164722 70.12237565 77.77625575],0.0,0.0,1.0,0.0,0.0,0.0,0.0
36,Ni-HHTP,H2S,40,batch_2,2,Ni-2,0.2508478489470472,86.05727140032474,122843.1622262051,[44.81825987 76.01212679 83.89831111],0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,Ni-HHTP,H2S,40,batch_2,3,Ni-2,0.23213308325298387,83.37771404371917,117101.45747486921,[42.39917924 72.29982197 80.4616606 ],0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,Ni-HHTP,H2S,80,batch_2,0,Ni-1,0.27066795858237064,58.422293731561126,77193.0655592966,[26.05198543 46.82664022 55.76983618],0.0,1.0,0.0,0.0,0.0,0.0,0.0
39,Ni-HHTP,H2S,80,batch_2,1,Ni-1,0.3206311797000809,57.808139191207516,79909.79161917872,[29.17882153 48.52983152 55.46717813],0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,Ni-HHTP,H2S,80,batch_2,2,Ni-1,0.4200637898879567,62.26243171225914,89169.10398460666,[35.77744673 52.9181954  59.90885492],0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,Ni-HHTP,H2S,80,batch_2,3,Ni-1,0.4619280872328491,65.2351580629308,93310.7748715985,[37.5467742  55.22874926 62.73120041],0.0,1.0,0.0,0.0,0.0,0.0,0.0
42,Zn-HHTP,H2S,5,batch_2,0,Zn-1,-0.0004515265858720763,-0.4827181945744494,-554.1924931008659,[-0.14141951 -0.36256642 -0.41968932],0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,Zn-HHTP,H2S,5,batch_2,1,Zn-1,-0.000504068683813843,-0.41249538478386616,-449.84797685106133,[-0.12995219 -0.29822064 -0.32148684],0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,Zn-HHTP,H2S,5,batch_2,2,Zn-1,-0.0014041335834233237,-0.4602195497394565,-583.7820177916926,[-0.19018118 -0.36953596 -0.4132948 ],0.0,0.0,0.0,0.0,0.0,0.0,1.0
